Numer of labeled samples:38591   AUC:0.750
Numer of labeled samples:37578   AUC:0.713
Numer of labeled samples:36143   AUC:0.810
Numer of labeled samples:37110   AUC:0.819
Numer of labeled samples:37598   AUC:0.824
Numer of labeled samples:36503   AUC:0.831
Numer of labeled samples:35372   AUC:0.827
Numer of labeled samples:36258   AUC:0.823
Numer of labeled samples:35873   AUC:0.825
Numer of labeled samples:34994   AUC:0.820
Numer of labeled samples:35420   AUC:0.832
Numer of labeled samples:35945   AUC:0.821
Numer of labeled samples:35245   AUC:0.831
Numer of labeled samples:35317   AUC:0.829
Numer of labeled samples:35280   AUC:0.831
Numer of labeled samples:35433   AUC:0.831
Numer of labeled samples:35398   AUC:0.824
Numer of labeled samples:34767   AUC:0.823
Numer of labeled samples:34917   AUC:0.831
Numer of labeled samples:34194   AUC:0.824
Numer of labeled samples:34524   AUC:0.827
Numer of labeled samples:34495   AUC:0.830
Numer of labeled samples:35331   AUC:0.836
Numer of labeled samples:34810   AUC:0.828
Numer of labeled samples:34750   AUC:0.821
Numer of labeled samples:34732   AUC:0.833
Numer of labeled samples:34611   AUC:0.833
Numer of labeled samples:34688   AUC:0.823
Numer of labeled samples:34539   AUC:0.819
Numer of labeled samples:34595   AUC:0.823
Numer of labeled samples:35293   AUC:0.830
Numer of labeled samples:34427   AUC:0.828
Numer of labeled samples:34919   AUC:0.834
Numer of labeled samples:34744   AUC:0.817
Numer of labeled samples:34918   AUC:0.835
Numer of labeled samples:34818   AUC:0.834
Numer of labeled samples:34493   AUC:0.822
Numer of labeled samples:34602   AUC:0.834
Numer of labeled samples:34589   AUC:0.831
Numer of labeled samples:34509   AUC:0.834
Numer of labeled samples:34170   AUC:0.833
Numer of labeled samples:34829   AUC:0.830
Numer of labeled samples:34620   AUC:0.827
Numer of labeled samples:35042   AUC:0.830
Numer of labeled samples:34533   AUC:0.834
Numer of labeled samples:34409   AUC:0.833
Numer of labeled samples:35063   AUC:0.833
Numer of labeled samples:34354   AUC:0.836
Numer of labeled samples:34872   AUC:0.836
Numer of labeled samples:34535   AUC:0.837
Numer of labeled samples:34641   AUC:0.830
Numer of labeled samples:34843   AUC:0.832
Numer of labeled samples:34442   AUC:0.830
Numer of labeled samples:34605   AUC:0.834
Numer of labeled samples:34384   AUC:0.829
