Numer of labeled samples:39149   AUC:0.738
Numer of labeled samples:37540   AUC:0.724
Numer of labeled samples:36802   AUC:0.815
Numer of labeled samples:37139   AUC:0.817
Numer of labeled samples:35838   AUC:0.825
Numer of labeled samples:36883   AUC:0.816
Numer of labeled samples:36733   AUC:0.831
Numer of labeled samples:35549   AUC:0.824
Numer of labeled samples:36200   AUC:0.822
Numer of labeled samples:35622   AUC:0.825
Numer of labeled samples:35333   AUC:0.822
Numer of labeled samples:34729   AUC:0.818
Numer of labeled samples:34838   AUC:0.819
Numer of labeled samples:34933   AUC:0.832
Numer of labeled samples:34921   AUC:0.818
Numer of labeled samples:35154   AUC:0.815
Numer of labeled samples:35107   AUC:0.822
Numer of labeled samples:34896   AUC:0.826
Numer of labeled samples:34736   AUC:0.826
Numer of labeled samples:34669   AUC:0.822
Numer of labeled samples:35136   AUC:0.828
Numer of labeled samples:34600   AUC:0.832
Numer of labeled samples:34696   AUC:0.832
Numer of labeled samples:34488   AUC:0.823
Numer of labeled samples:34724   AUC:0.833
Numer of labeled samples:34290   AUC:0.818
Numer of labeled samples:34575   AUC:0.828
Numer of labeled samples:34730   AUC:0.830
Numer of labeled samples:34653   AUC:0.831
Numer of labeled samples:34468   AUC:0.827
Numer of labeled samples:34881   AUC:0.832
Numer of labeled samples:34852   AUC:0.823
Numer of labeled samples:34572   AUC:0.826
Numer of labeled samples:34183   AUC:0.822
Numer of labeled samples:34188   AUC:0.820
Numer of labeled samples:34733   AUC:0.826
Numer of labeled samples:34623   AUC:0.821
Numer of labeled samples:34503   AUC:0.827
Numer of labeled samples:34764   AUC:0.831
Numer of labeled samples:34301   AUC:0.824
Numer of labeled samples:33929   AUC:0.833
Numer of labeled samples:34755   AUC:0.836
Numer of labeled samples:34493   AUC:0.832
Numer of labeled samples:34627   AUC:0.829
Numer of labeled samples:34536   AUC:0.832
Numer of labeled samples:34800   AUC:0.838
Numer of labeled samples:34334   AUC:0.840
Numer of labeled samples:34486   AUC:0.833
Numer of labeled samples:34797   AUC:0.832
Numer of labeled samples:34413   AUC:0.828
Numer of labeled samples:34476   AUC:0.828
Numer of labeled samples:34446   AUC:0.834
Numer of labeled samples:34662   AUC:0.828
Numer of labeled samples:35026   AUC:0.832
Numer of labeled samples:34241   AUC:0.835
Numer of labeled samples:34701   AUC:0.829
Numer of labeled samples:34695   AUC:0.826
Numer of labeled samples:34547   AUC:0.827
Numer of labeled samples:34362   AUC:0.835
Numer of labeled samples:34622   AUC:0.835
Numer of labeled samples:34716   AUC:0.829
Numer of labeled samples:34515   AUC:0.829
Numer of labeled samples:34572   AUC:0.831
Numer of labeled samples:34506   AUC:0.825
Numer of labeled samples:34835   AUC:0.836
Numer of labeled samples:34573   AUC:0.830
Numer of labeled samples:34606   AUC:0.826
Numer of labeled samples:34809   AUC:0.833
Numer of labeled samples:34755   AUC:0.830
Numer of labeled samples:34702   AUC:0.832
Numer of labeled samples:34989   AUC:0.832
Numer of labeled samples:34281   AUC:0.826
Numer of labeled samples:34727   AUC:0.829
Numer of labeled samples:35001   AUC:0.832
Numer of labeled samples:34823   AUC:0.833
Numer of labeled samples:35033   AUC:0.833
Numer of labeled samples:35062   AUC:0.833
Numer of labeled samples:34923   AUC:0.823
Numer of labeled samples:34924   AUC:0.834
Numer of labeled samples:35253   AUC:0.835
Numer of labeled samples:35122   AUC:0.834
Numer of labeled samples:34905   AUC:0.839
Numer of labeled samples:34700   AUC:0.828
Numer of labeled samples:34553   AUC:0.829
Numer of labeled samples:34712   AUC:0.832
Numer of labeled samples:34729   AUC:0.832
Numer of labeled samples:35030   AUC:0.836
Numer of labeled samples:35130   AUC:0.826
Numer of labeled samples:34927   AUC:0.835
Numer of labeled samples:34945   AUC:0.830
Numer of labeled samples:34505   AUC:0.824
Numer of labeled samples:35215   AUC:0.831
Numer of labeled samples:35092   AUC:0.831
Numer of labeled samples:34862   AUC:0.830
Numer of labeled samples:34941   AUC:0.837
Numer of labeled samples:35293   AUC:0.839
Numer of labeled samples:35340   AUC:0.833
Numer of labeled samples:34917   AUC:0.833
Numer of labeled samples:35018   AUC:0.835
Numer of labeled samples:35475   AUC:0.837
Numer of labeled samples:35257   AUC:0.837
Numer of labeled samples:34947   AUC:0.836
Numer of labeled samples:35164   AUC:0.834
Numer of labeled samples:34868   AUC:0.840
Numer of labeled samples:35125   AUC:0.839
Numer of labeled samples:34982   AUC:0.838
Numer of labeled samples:35125   AUC:0.842
Numer of labeled samples:35660   AUC:0.838
Numer of labeled samples:35197   AUC:0.831
Numer of labeled samples:35224   AUC:0.839
Numer of labeled samples:35029   AUC:0.839
Numer of labeled samples:35070   AUC:0.836
Numer of labeled samples:35332   AUC:0.837
Numer of labeled samples:35161   AUC:0.840
Numer of labeled samples:35065   AUC:0.835
Numer of labeled samples:35051   AUC:0.835
Numer of labeled samples:35327   AUC:0.841
Numer of labeled samples:34913   AUC:0.836
Numer of labeled samples:35397   AUC:0.841
Numer of labeled samples:35603   AUC:0.838
Numer of labeled samples:35678   AUC:0.837
Numer of labeled samples:35376   AUC:0.834
Numer of labeled samples:35735   AUC:0.840
Numer of labeled samples:35386   AUC:0.835
Numer of labeled samples:35271   AUC:0.838
